Department  ,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,03/08/2008,03/08/2008,Nonexempt,20.83
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,01/28/2002,06/09/2018,Nonexempt,20.85
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,09/08/2000,07/08/2010,Nonexempt,20.90
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,05/11/2012,07/08/2013,Nonexempt,20.93
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,07/08/2007,06/23/2010,Nonexempt,20.95
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,08/23/2007,06/01/2019,Nonexempt,20.95
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,10/23/2007,10/23/2007,Nonexempt,20.95
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,11/08/2002,01/19/2019,Nonexempt,20.96
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,05/21/2015,06/23/2015,Nonexempt,21.03
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,06/08/2015,06/08/2015,Nonexempt,21.04
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,04/08/2015,04/08/2015,Nonexempt,21.04
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,08/23/2014,08/23/2014,Nonexempt,21.06
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,07/23/2014,07/23/2014,Nonexempt,21.06
Judicial - Sheriff and Jail,Property Technician - SC,State Comp Board Retirement,07/11/1994,05/15/1996,Nonexempt,21.21
Judicial - Sheriff and Jail,Secretary II,State Comp Board Retirement,04/23/1997,08/01/1997,Nonexempt,21.21
Judicial - Sheriff and Jail,Civilian Court Security,Constitutional OfficePart-time,03/02/1970,05/30/2006,Nonexempt,21.21
Judicial - Sheriff and Jail,Civilian Court Security,Constitutional OfficePart-time,12/16/1969,09/06/2005,Nonexempt,21.21
Judicial - Sheriff and Jail,Secretary II,State Comp Board Retirement,09/01/1982,02/01/2020,Nonexempt,21.21
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,07/08/2006,07/08/2006,Nonexempt,21.30
Judicial - Sheriff and Jail,Payroll & Benefits Coordinator,State Comp Board Retirement,12/16/1977,05/12/2018,Nonexempt,21.31
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,03/23/2014,03/23/2014,Nonexempt,21.40
Judicial - Sheriff and Jail,Records Clerk II - SC,State Comp Board Retirement,08/08/2000,08/08/2000,Nonexempt,21.44
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,06/23/2013,06/23/2013,Nonexempt,21.53
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,03/08/2006,03/08/2006,Nonexempt,21.54
Judicial - Sheriff and Jail,Secretary II,State Comp Board Retirement,12/01/1995,07/08/2013,Nonexempt,21.60
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,10/23/2006,02/08/2011,Nonexempt,21.65
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,07/23/2010,07/08/2013,Nonexempt,21.65
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,11/09/2005,11/09/2005,Nonexempt,21.66
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,12/08/2005,12/08/2005,Nonexempt,21.66
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,08/08/2005,08/08/2005,Nonexempt,21.66
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/02/2012,07/08/2013,Nonexempt,21.67
Judicial - Sheriff and Jail,Property Technician - SC,State Comp Board Retirement,01/08/1979,07/02/2001,Nonexempt,21.74
Judicial - Sheriff and Jail,Records Clerk,State Comp Board Retirement,01/23/2006,01/23/2006,Nonexempt,21.75
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,01/23/2011,01/23/2011,Nonexempt,21.77
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,02/23/2009,02/23/2009,Nonexempt,21.89
Judicial - Sheriff and Jail,Public Relations Assistant-SC,State Comp Board Retirement,01/08/2016,01/08/2016,Nonexempt,21.94
Judicial - Sheriff and Jail,Payroll & Benefits Coordinator,State Comp Board Retirement,02/01/1988,04/22/2017,Nonexempt,21.99
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,10/08/2008,10/08/2008,Nonexempt,22.01
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,01/08/2014,01/08/2014,Nonexempt,22.22
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,06/08/2013,06/08/2013,Nonexempt,22.22
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,01/08/2014,01/08/2014,Nonexempt,22.22
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/23/2011,10/23/2011,Nonexempt,22.26
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/08/2011,08/08/2011,Nonexempt,22.28
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/02/2012,02/01/2020,Nonexempt,22.34
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,09/23/2009,09/23/2009,Nonexempt,22.37
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/23/2010,10/23/2010,Nonexempt,22.38
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/08/2010,10/08/2010,Nonexempt,22.39
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/23/2010,08/23/2010,Nonexempt,22.40
Judicial - Sheriff and Jail,Procurement Specialist - SC,State Comp Board Retirement,03/26/2008,03/26/2008,Nonexempt,22.40
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/08/2010,02/01/2020,Nonexempt,22.41
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,09/23/2006,06/24/2017,Nonexempt,22.45
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/23/2011,10/23/2011,Nonexempt,22.46
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,07/23/2008,06/23/2010,Nonexempt,22.49
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,09/29/2003,07/12/2006,Nonexempt,22.72
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,08/08/2006,08/08/2006,Nonexempt,22.73
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,11/23/2002,11/23/2002,Nonexempt,22.79
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,05/08/2008,05/08/2008,Nonexempt,22.83
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,09/23/2009,09/23/2009,Nonexempt,22.99
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,04/08/2009,04/08/2009,Nonexempt,23.07
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,11/23/2008,11/23/2008,Nonexempt,23.10
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,09/05/2002,12/08/2007,Nonexempt,23.11
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,03/23/2007,03/23/2007,Nonexempt,23.11
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/08/2008,07/08/2008,Nonexempt,23.13
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/23/2009,07/23/2009,Nonexempt,23.18
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/08/2009,08/08/2009,Nonexempt,23.18
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/19/1985,07/23/2011,Nonexempt,23.18
Judicial - Sheriff and Jail,Education Programs Specialist,State-Special Proj-Retiremet,01/26/2004,02/16/2019,Nonexempt,23.21
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/23/2008,08/05/2008,Nonexempt,23.30
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,01/23/2009,01/23/2009,Nonexempt,23.30
Judicial - Sheriff and Jail,Inmate Classif Specialist,State Comp Board Retirement,01/12/2000,01/23/2004,Nonexempt,23.39
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,11/27/2006,11/27/2006,Nonexempt,23.43
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,04/08/2008,04/08/2008,Nonexempt,23.44
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,03/08/2008,06/23/2010,Nonexempt,23.45
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,10/08/1980,08/18/2018,Nonexempt,23.45
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,06/08/2011,06/08/2011,Nonexempt,23.46
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,01/08/2004,08/23/2015,Nonexempt,23.47
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/23/2007,10/23/2007,Nonexempt,23.48
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,05/08/2008,05/08/2008,Nonexempt,23.54
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,03/08/2008,03/08/2008,Nonexempt,23.54
Judicial - Sheriff and Jail,Assist Procurement Specialist,State Comp Board Retirement,01/02/1996,03/23/2014,Nonexempt,23.61
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,07/02/2012,06/01/2019,Nonexempt,23.66
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,05/08/2012,05/08/2012,Nonexempt,23.69
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,11/27/2006,11/27/2006,Nonexempt,23.84
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/23/2006,10/23/2006,Nonexempt,23.85
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/08/2006,10/08/2006,Nonexempt,23.86
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,08/23/2012,08/23/2012,Nonexempt,23.90
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,06/08/2007,06/08/2007,Nonexempt,23.92
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,01/23/2002,12/08/2003,Nonexempt,24.02
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,01/08/2007,01/08/2007,Nonexempt,24.04
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,07/02/2012,07/08/2013,Nonexempt,24.12
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,03/08/2006,03/08/2006,Nonexempt,24.21
Judicial - Sheriff and Jail,Assist Procurement Specialist,State Comp Board Retirement,12/23/2001,12/23/2001,Nonexempt,24.21
Judicial - Sheriff and Jail,Education Programs Specialist,State Comp Board Retirement,04/23/2011,07/08/2014,Nonexempt,24.24
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,07/23/2011,06/01/2019,Nonexempt,24.28
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,10/23/2004,10/23/2004,Nonexempt,24.28
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,11/08/2002,11/08/2002,Nonexempt,24.28
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,05/23/2006,05/23/2006,Nonexempt,24.30
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,06/23/2006,06/23/2006,Nonexempt,24.30
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,09/29/2003,09/29/2003,Nonexempt,24.38
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,10/23/2003,10/23/2003,Nonexempt,24.38
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,01/08/2004,01/08/2004,Nonexempt,24.38
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,11/09/2005,11/09/2005,Nonexempt,24.42
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,05/19/1982,01/08/2014,Nonexempt,24.53
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,07/23/2008,07/23/2008,Nonexempt,24.60
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,12/08/2000,12/08/2000,Nonexempt,24.75
Judicial - Sheriff and Jail,Procurement Specialist - SC,State Comp Board Retirement,08/23/2005,08/23/2005,Nonexempt,24.83
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,07/08/2008,07/08/2008,Nonexempt,24.86
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/08/2003,07/08/2003,Nonexempt,25.04
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,04/23/2004,04/23/2004,Nonexempt,25.07
Judicial - Sheriff and Jail,Inmate Classif Specialist,State Comp Board Retirement,07/24/1995,05/15/1996,Nonexempt,25.16
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,09/08/1998,09/08/1998,Nonexempt,25.19
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,12/08/2007,12/23/2012,Nonexempt,25.35
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,06/08/2002,06/08/2002,Nonexempt,25.50
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,03/23/2002,03/23/2002,Nonexempt,25.59
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/23/2002,08/23/2002,Nonexempt,25.59
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/08/2002,07/08/2002,Nonexempt,25.59
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,06/23/2006,06/23/2006,Nonexempt,25.64
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,04/23/2002,04/23/2002,Nonexempt,25.69
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,05/08/2006,05/08/2006,Nonexempt,25.73
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,08/08/2011,08/08/2011,Nonexempt,25.75
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/23/2002,07/23/2002,Nonexempt,25.88
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,04/08/2004,04/08/2004,Nonexempt,25.88
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,01/08/2012,01/08/2012,Nonexempt,25.88
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/23/2000,08/23/2000,Nonexempt,25.96
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,01/08/2001,06/23/2010,Nonexempt,26.12
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,09/23/2000,09/23/2000,Nonexempt,26.12
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,09/08/2000,09/08/2000,Nonexempt,26.12
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,10/28/1996,10/28/1996,Nonexempt,26.12
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,10/23/2004,10/23/2004,Nonexempt,26.16
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/23/1998,06/23/2010,Nonexempt,26.25
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,01/22/2001,06/23/2010,Nonexempt,26.41
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,03/08/2000,03/08/2000,Nonexempt,26.41
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,01/22/2001,01/22/2001,Nonexempt,26.42
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,06/08/2009,06/08/2009,Nonexempt,26.50
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,01/08/2004,06/23/2008,Nonexempt,26.56
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,05/08/2005,05/08/2005,Nonexempt,26.59
Judicial - Sheriff and Jail,Executive Assistant - SC,State Comp Board Retirement,04/08/2009,07/01/2020,Nonexempt,26.61
Judicial - Sheriff and Jail,Deputy Sheriff (Corporal),State Comp Board Retirement,10/08/1994,06/23/2008,Nonexempt,26.62
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,01/08/1999,01/08/1999,Nonexempt,26.65
Judicial - Sheriff and Jail,Inmate Classif Specialist,State Comp Board Retirement,05/23/1998,05/23/1998,Nonexempt,26.68
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,11/20/2000,08/23/2009,Nonexempt,26.73
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,10/28/1996,06/23/2007,Nonexempt,26.77
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,03/23/1999,03/23/1999,Nonexempt,26.83
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,07/08/2008,07/08/2008,Nonexempt,26.89
Judicial - Sheriff and Jail,Network Engineer - SC,State Comp Board Retirement,11/08/2013,11/08/2013,Nonexempt,26.91
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,07/23/2005,07/23/2005,Nonexempt,26.92
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,06/08/2007,06/08/2007,Nonexempt,26.97
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,07/08/2008,07/08/2008,Nonexempt,27.06
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,09/23/1997,09/23/1997,Nonexempt,27.07
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,02/23/1998,02/23/1998,Nonexempt,27.25
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,02/23/1998,02/23/1998,Nonexempt,27.25
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/23/1998,08/23/1998,Nonexempt,27.25
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,07/23/2007,07/23/2007,Nonexempt,27.48
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,05/23/1996,05/23/1996,Nonexempt,27.49
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,12/18/1996,12/18/1996,Nonexempt,27.49
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,12/18/1996,12/18/1996,Nonexempt,27.49
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,09/08/2002,10/08/2003,Nonexempt,27.58
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,08/01/1995,05/15/1996,Nonexempt,27.61
Judicial - Sheriff and Jail,Deputy Sheriff (Master),State Comp Board Retirement,07/23/1998,07/23/1998,Nonexempt,27.71
Judicial - Sheriff and Jail,Deputy Sheriff,State Comp Board Retirement,07/11/1989,12/08/2007,Nonexempt,27.71
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,12/08/2003,12/08/2003,Nonexempt,29.22
Judicial - Sheriff and Jail,Procurement Specialist - SC,State Comp Board Retirement,09/15/1997,09/15/1997,Nonexempt,29.27
Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,01/08/2004,01/08/2004,Exempt,62464.34
Judicial - Sheriff and Jail,Public Affairs Officer,State Comp Board Retirement,04/10/2021,04/10/2021,Exempt,63096.00
Judicial - Sheriff and Jail,Assist Procurement Specialist,State Comp Board Retirement,10/13/2018,03/27/2021,Nonexempt,30.33
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,08/08/1997,08/08/1997,Nonexempt,30.50
Judicial - Sheriff and Jail,Inmate Classification Manager,State Comp Board Retirement,11/23/2001,11/23/2001,Exempt,64043.20
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,07/08/1994,01/23/1997,Nonexempt,30.79
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,05/08/1999,05/08/1999,Nonexempt,30.87
Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,11/23/2004,11/23/2004,Exempt,64202.80
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,10/28/1996,10/28/1996,Nonexempt,31.24
Judicial - Sheriff and Jail,Deputy Sheriff (Sergeant),State Comp Board Retirement,10/28/1996,10/28/1996,Nonexempt,31.98
Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,09/29/2003,11/28/2005,Exempt,66581.03
Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,03/08/2000,03/08/2000,Exempt,67368.12
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,08/08/1998,07/23/2008,Nonexempt,32.78
Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,03/08/2000,06/23/2008,Exempt,68902.41
Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,02/23/1998,06/23/2007,Exempt,70427.70
Judicial - Sheriff and Jail,Fiscal Manager - SC,State Comp Board Retirement,10/12/1971,08/02/2004,Exempt,70628.06
Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,10/28/1996,10/28/1996,Exempt,70698.19
Judicial - Sheriff and Jail,Info Tech Systems Director,State Comp Board Retirement,12/08/2015,12/08/2015,Exempt,70792.49
Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,11/13/1993,05/15/1996,Exempt,71525.00
Judicial - Sheriff and Jail,Deputy Sheriff (Lieutenant),State Comp Board Retirement,02/23/2009,02/23/2009,Nonexempt,34.39
Judicial - Sheriff and Jail,Facilities Manager - SC,State Comp Board Retirement,11/23/2007,11/23/2007,Exempt,73143.19
Judicial - Sheriff and Jail,Deputy Sheriff (Captain),State Comp Board Retirement,11/15/1995,05/15/1996,Exempt,73266.57
Judicial - Sheriff and Jail,Fiscal Manager - SC,State Comp Board Retirement,02/16/1999,08/30/1999,Exempt,73471.01
Judicial - Sheriff and Jail,Deputy Sheriff (Major),State Comp Board Retirement,11/20/2000,01/04/2021,Exempt,75000.00
Judicial - Sheriff and Jail,Deputy Sheriff (Major),State Comp Board Retirement,12/22/1975,10/10/2020,Exempt,80000.00
Judicial - Sheriff and Jail,Deputy Sheriff (Major),State Comp Board Retirement,10/13/2018,01/18/2020,Exempt,80665.00
Judicial - Sheriff and Jail,HR Administrator - SC,State Comp Board Retirement,07/08/1994,05/15/1996,Exempt,82115.39
Judicial - Sheriff and Jail,Corrections Director,State Comp Board Retirement,11/14/1985,01/19/2019,Exempt,86699.98
Judicial - Sheriff and Jail,Deputy Sheriff (Lieut Col),State Comp Board Retirement,06/20/1994,05/15/1996,Exempt,93106.16
Judicial - Sheriff and Jail,Deputy Sheriff (Lieut Col),State Comp Board Retirement,12/18/1996,06/23/2008,Exempt,95526.74
Judicial - Sheriff and Jail,Deputy Sheriff (Colonel),State Comp Board Retirement,07/07/1986,05/15/1996,Exempt,118380.12
Judicial - Sheriff and Jail,Sheriff,State Comp Board Retirement,09/03/1985,02/01/2017,Exempt,169320.00
Law,Support Technician,Permanent Full-time,10/26/2015,11/25/2019,Nonexempt,29779.92
Law,Support Technician,Permanent Full-time,12/30/2002,08/29/2005,Nonexempt,35132.63
Law,Legal Secretary II,Permanent Full-time,08/01/2013,03/14/2020,Nonexempt,43000.00
Law,Legal Secretary II,Permanent Full-time,10/24/2020,10/24/2020,Nonexempt,43000.00
Law,Legal Secretary II,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,44553.60
Law,Legal Secretary II,Permanent Full-time,01/28/2014,05/11/2015,Nonexempt,48650.33
Law,Legal Secretary II,Permanent Full-time,02/19/2002,02/19/2002,Nonexempt,51000.80
Law,Legal Coordinator I,Permanent Full-time,07/13/2015,06/04/2018,Nonexempt,52156.08
Law,Legal Secretary II,Permanent Full-time,08/03/2015,08/03/2015,Nonexempt,54538.00
Law,Legal Coordinator I,Permanent Full-time,10/03/2007,11/09/2019,Nonexempt,55080.19
Law,Paralegal Claims Investg - LD,Permanent Full-time,11/13/1995,11/01/2005,Nonexempt,69557.09
Law,Legal Coordinator II,Permanent Full-time,04/02/1990,05/15/1996,Nonexempt,70055.29
Law,Business Manager,Permanent Full-time,01/14/1974,05/15/1996,Exempt,78650.79
Law,Legal Administrator,Permanent Full-time,10/19/1992,02/07/1997,Exempt,84935.47
Law,Assistant City Attorney I,Permanent Full-time,06/27/2014,08/17/2019,Exempt,89760.12
Law,Assistant City Attorney I,Permanent Full-time,04/15/2013,04/15/2013,Exempt,94779.00
Law,Assistant City Attorney I,Permanent Full-time,09/03/2019,09/03/2019,Exempt,94999.00
Law,Deputy City Attorney I,Permanent Full-time,05/31/2005,01/19/2010,Exempt,98628.88
Law,Assistant City Attorney I,Permanent Full-time,08/01/2014,01/22/2019,Exempt,99860.00
Law,Deputy City Attorney I,Permanent Full-time,06/01/1998,05/08/2001,Exempt,104784.93
Law,Deputy City Attorney I,Permanent Full-time,08/20/2007,08/20/2007,Exempt,105047.11
Law,Assistant City Attorney II,Permanent Full-time,10/26/2019,10/26/2019,Exempt,107000.00
Law,Assistant City Attorney II,Permanent Full-time,07/01/2015,07/01/2015,Exempt,112783.00
Law,Deputy City Attorney II,Permanent Full-time,06/01/1999,06/29/2001,Exempt,117785.00
Law,Deputy City Attorney I,Permanent Full-time,01/29/2001,01/29/2001,Exempt,122892.99
Law,Deputy City Attorney I,Permanent Full-time,02/06/2006,01/01/2019,Exempt,127788.09
Law,Assistant City Attorney III,Permanent Full-time,08/01/2014,08/01/2014,Exempt,129000.00
Law,Deputy City Attorney I,Permanent Full-time,09/16/2013,09/16/2013,Exempt,134093.50
Law,Deputy City Attorney I,Permanent Full-time,08/09/2016,08/09/2016,Exempt,136134.26
Law,Deputy City Attorney II,Permanent Full-time,10/03/1989,05/15/1996,Exempt,138560.59
Law,Chief Deputy City Attorney,Permanent Full-time,01/28/2002,07/01/2016,Exempt,198993.07
